"","No.","Cantón","Total.delitos","Tasa.delitos","Pilar.de.calidad.de.vida","Indice.de.competitividad.cantonal","Pilar.económico","Pilar.Infraestructura","Pilar.clima.laboral","Pilar.Gobierno","IDH.2009","INESVIDA","IQ","BienestarMat","IDH.2012","Total.delitos..relativos.","Tasa.delitos..relativos.","Pilar.de.calidad.de.vida..relativos.","Indice.de.competitividad.cantonal..relativos.","Pilar.económico..relativos.","Pilar.Infraestructura..relativos.","Pilar.clima.laboral..relativos.","Pilar.Gobierno..relativos.","IDH.2009..relativos.","INESVIDA..relativos.","IQ..relativos.","BienestarMat..relativos.","IDH.2012..relativos.","Dindex","Total.delitos..relativos..1","Tasa.delitos..rank.","Pilar.de.calidad.de.vida..rank.","Indice.de.competitividad.cantonal..rank.","Pilar.económico..rank.","Pilar.Infraestructura..rank.","Pilar.clima.laboral..rank.","Pilar.Gobierno..rank.","IDH.2009..rank.","INESVIDA..rank.","IQ..rank.","BienestarMat..rank.","IDH.2012..rank.","Dindex..rank.","Cluster2","Cluster3","Cluster4","Cluster5","Cluster6","Cluster7","Cluster8","Cluster9","Cluster10","Cluster11","Cluster12","Cluster13","Cluster14","Cluster15"
"42",42,"Montes de Oca",0.754224210068366,2.13945349707475,-0.167067410879997,2.37000771896866,0.933960022250527,2.08501703211991,1.56574784381948,-0.595567521895137,2.33256865937458,1.2873229244824,1.41351839246906,2.08719452703433,1.93592066344649,-0.754224209873626,-2.13938748584393,-0.167067410879996,2.37000771896866,0.933960022250526,2.08501703211991,1.99137525484612,-0.595567521895137,2.33256865933098,1.28732292375386,1.41351839257291,2.08719452703433,1.93592066362064,1.91861099183344,1.3058431442321,79,35,3,8,4,5,55,1,6,5,4,3,2,"1","1","4","5","3","1","4","6","3","8","1","10","13","15"
"43",43,"Montes de Oro",-0.540254809506218,-0.475681070291583,1.43579335771038,0.0141246383791002,-0.421722930516426,-0.144882188363849,-1.31641765393442,0.943532864720558,0.0460298866315277,0.830420378082257,-0.14676406903525,-0.148336150880401,-0.0486346617524075,0.540254809324359,0.475632679955223,1.43579335771038,0.0141246383791002,-0.421722930516426,-0.144882188363849,-0.954869856608121,0.943532864720558,0.0460298868318892,0.830420377490921,-0.14676406930249,-0.148336150880401,-0.0486346614927666,0.443720854766281,-1.1865060837402,29,8,33,53,38,71,13,35,18,45,42,43,21,"2","2","1","1","1","3","1","2","5","2","6","7","8","14"
"44",44,"Mora",-0.475406149566066,-0.507308122686305,-0.793416080452236,-0.295018390295548,-0.348662172582878,0.340304674994157,0.330534059067809,-0.586037488541479,0.617664579817291,1.04973360035433,0.126285361728005,0.439015072807652,0.42139159947891,0.475406149681321,0.50724855334897,-0.793416080452235,-0.295018390295548,-0.348662172582878,0.340304674994156,0.0490358850725826,-0.58603748854148,0.617664579327863,1.04973359955501,0.126285362137759,0.439015072807652,0.421391599123967,0.0644524021722863,-0.764074011202526,25,68,49,42,24,34,54,23,12,39,24,23,35,"2","2","1","1","6","3","1","2","6","2","10","6","6","5"
"45",45,"Moravia",0.0945138041387369,0.34079242056202,-0.443252651006338,0.786982210065721,0.690424162472032,1.42829945949393,1.38275320904146,-1.4675655737548,1.65458332559612,0.848696479938263,0.75039834632973,1.61371752018376,1.74007638793344,-0.0945138040219683,-0.340849532395719,-0.443252651006338,0.786982210065721,0.690424162472032,1.42829945949393,1.16751782553206,-1.4675655737548,1.65458332523003,0.848696479625667,0.750398346630213,1.61371752018376,1.74007638804999,1.06715027530252,0.841167864440652,63,51,13,11,9,9,79,6,17,23,6,6,12,"1","1","2","2","3","5","3","9","9","9","11","5","2","9"
"46",46,"Nandayure",-0.595126752532501,-0.948629388360119,0.138709104974167,-0.42293964354023,-0.161951346752699,-1.01233748951907,-1.40791497132343,1.95848141688509,1.00318565196583,-0.101660816574031,1.29649720785624,0.786631103153642,1.27005012670212,0.595126752545812,0.948622280017162,0.138709104974167,-0.42293964354023,-0.161951346752699,-1.01233748951907,-1.1676542257687,1.95848141688509,1.00318565247352,-0.101660817169702,1.29649720822218,0.786631103153642,1.27005012617854,0.619950922174527,-1.65118136353165,1,26,53,35,69,73,4,12,46,8,17,10,18,"2","2","2","2","6","5","8","1","6","9","4","3","5","6"
"47",47,"Naranjo",-0.419287116925549,-0.5838251849316,-0.21145432447173,0.227326727120237,-0.486665826457358,0.134467823872578,0.650774669929354,0.400320963562078,-0.631955447146936,0.885248683650274,-0.809884115174582,-0.771647653569764,-0.8189554787704,0.419287117088591,0.583817075694214,-0.21145432447173,0.227326727120237,-0.486665826457358,0.134467823872578,0.414588519271534,0.400320963562077,-0.631955447269064,0.885248683895161,-0.809884115245189,-0.771647653569764,-0.818955479071911,0.00868088520668236,-0.510614767679919,22,40,24,61,28,27,27,63,15,61,61,66,42,"2","2","1","4","2","2","2","7","5","4","9","7","11","3"
"48",48,"Nicoya",-0.227235316333559,-0.225579586838391,-0.665187218965006,-0.753402881088992,-0.25124782867148,-0.556555890607005,0.284785400373303,-0.50503220503539,0.431550958780066,-0.19304132585406,1.42652074631493,-0.0164817945422668,0.0427593334870154,0.22723531617635,0.22552982542908,-0.665187218965005,-0.753402881088992,-0.25124782867148,-0.556555890607005,0.0326678566756146,-0.505032205035391,0.431550958719945,-0.193041326067001,1.42652074596015,-0.016481794542267,0.0427593339408304,-0.373073824181069,0.334249377395438,42,63,63,39,54,35,50,27,48,4,39,37,55,"2","2","1","1","1","3","1","2","4","10","7","2","10","2"
"49",49,"Oreamuno",-0.424275475382484,-0.628277954426485,0.0745946742305521,-0.65746194115548,-0.470430102472125,0.124666069057265,-0.538690456127813,-1.53904082390723,0.843659691076779,1.12283800777835,-0.0947546536517726,0.8165980023214,0.303885034171081,0.424275475299384,0.628324909962394,0.0745946742305522,-0.65746194115548,-0.470430102472125,0.124666069057265,-0.507477080424329,-1.53904082390724,0.843659690694849,1.12283800809401,-0.0947546531764746,0.8165980023214,0.30388503428346,-0.148631336962045,-0.552857974933686,17,29,61,59,31,54,81,16,10,44,16,29,47,"2","2","1","1","1","3","1","2","6","2","10","6","6","2"
"50",50,"Orotina",-0.401827862326277,0.090690937108828,-0.408729495990546,-0.11912666708411,-0.0239476928782185,-0.208593594663385,0.69652332862386,0.152540096366981,0.976597991817654,0.35524172982611,1.12746660785994,0.672756886316163,0.852249005607618,0.401827862262293,-0.0906946045599357,-0.408729495990545,-0.11912666708411,-0.0239476928782187,-0.208593594663385,0.425500538202846,0.152540096366981,0.976597992386671,0.355241729093234,1.12746660774543,0.672756886316162,0.852249005630337,0.423518570986585,-0.426128353172383,57,49,41,26,42,25,32,14,28,13,18,15,23,"2","2","2","2","6","5","8","1","10","9","4","12","4","8"
"51",51,"Osa",-0.371897711584668,-0.16013928027051,0.153504742838078,-0.780053142181634,-0.421722930516426,-1.10545416026455,-0.584439114822319,0.633806780726688,-0.39266650581336,-2.53238236342278,1.03645013093885,-0.166316290381056,0.0558156185212187,0.37189771154617,0.160092428891316,0.153504742838078,-0.780053142181634,-0.421722930516426,-1.10545416026455,-0.512933089889985,0.633806780726688,-0.392666505229859,-2.53238236378593,1.0364501314577,-0.166316290381056,0.0558156186442855,-0.45772302763414,-0.257155524157312,45,24,64,53,75,55,22,51,81,14,44,36,58,"2","2","1","1","1","3","1","2","4","10","7","2","10","2"
